Gender,Age,Physical Exercise,Height (cm),Weight (kg),Calories
Male,48,0,191,73,2034
Male,76,0,154,72,1567
Male,66,2,200,79,3229
Male,58,2,181,52,2449
Male,27,1,133,60,2123
Female,82,1,188,80,2133
Male,80,1,149,74,1985
Female,48,0,192,62,1644
Female,55,0,183,46,1401
Female,89,1,186,93,2270
Male,58,0,170,48,1415
Male,59,1,132,119,3030
Male,44,2,135,51,2167
Male,28,1,134,118,3351
Female,27,2,134,83,2976
Male,61,0,183,57,1617
Male,17,1,176,75,2880
Male,50,0,178,115,2630
Male,96,2,138,107,2981
Male,23,2,149,100,3847
Female,41,2,190,86,3097
Male,89,0,164,105,2063
Female,49,0,179,86,1887
Male,22,0,191,100,2690
Female,83,0,146,80,1555
Male,73,2,132,112,3352
Male,90,2,161,51,1820
Female,44,1,142,98,2549
Female,51,1,197,45,1863
Female,36,0,143,88,1906
Male,51,2,140,89,3113
Female,25,2,185,91,3314
Male,88,2,196,57,2334
Male,39,1,158,66,2317
Female,79,1,138,65,1792
Female,64,2,196,53,2310
Male,51,2,154,70,2752
Male,97,2,171,53,1876
Female,39,1,138,59,1994
Female,38,2,169,54,2468
Female,77,2,154,86,2652
Male,52,0,134,116,2366
Male,27,0,140,68,1817
Male,70,1,188,93,2796
Male,28,2,167,70,3172
Male,38,2,134,81,3016
Male,45,0,177,112,2615
Female,32,1,147,94,2591
Male,77,0,199,68,1763
Male,99,0,166,63,1303
Male,28,0,189,104,2694
Female,74,0,177,83,1707
Male,34,2,157,118,4249
Male,64,2,198,62,2793
Female,27,0,169,63,1725
Male,76,1,174,80,2349
Male,34,1,191,118,3730
Male,91,1,187,99,2695
Male,24,1,196,113,3768
Male,86,0,185,91,1983
Female,43,2,169,93,3135
Female,93,1,169,77,1955
Female,67,0,162,65,1507
Male,98,1,135,66,1517
Male,31,1,148,92,2876
Male,84,0,169,81,1739
Female,27,2,188,59,2723
Male,40,2,188,79,3451
Male,67,0,177,115,2485
Female,100,2,170,76,2319
Male,68,0,142,55,1281
Female,38,0,174,54,1570
Female,31,0,182,117,2352
Female,72,2,171,101,3029
Male,54,0,192,69,1925
Male,68,1,156,46,1571
Male,57,2,167,108,3787
Male,73,2,189,79,3034
Male,54,2,136,51,2047
Male,29,2,134,62,2638
Male,20,1,174,111,3597
Female,50,2,187,86,3006
Male,90,2,160,83,2643
Female,33,0,152,85,1907
Male,91,2,171,119,3672
Male,24,1,139,68,2371
Male,89,1,161,104,2620
Female,73,1,182,90,2330
Female,32,1,159,63,2163
Female,22,2,168,112,3665
Female,61,2,160,86,2816
Male,28,1,131,76,2436
Female,55,1,141,83,2243
Male,57,2,168,80,3067
Male,24,1,195,80,3059
Female,65,0,142,47,1268
Female,42,1,175,117,2938
Female,81,1,156,52,1634
Female,20,0,146,114,2302
Female,44,0,189,85,1925
Female,52,2,193,112,3483
Female,53,2,164,57,2372
Female,98,0,199,93,1734
Male,23,0,159,104,2555
Female,80,2,200,46,2053
Female,32,1,192,104,2865
Male,86,0,157,49,1125
Female,60,2,189,88,2960
Male,19,1,166,71,2696
Male,51,0,151,76,1818
Female,85,1,197,65,1913
Male,46,2,149,52,2300
Male,34,0,197,116,2891
Male,76,1,193,94,2793
Male,69,0,146,111,2217
Female,54,1,141,88,2325
Male,89,2,151,102,3065
Female,34,2,146,47,2297
Male,54,0,139,114,2347
Male,82,1,194,46,1718
Male,60,0,151,88,1942
Male,28,0,179,46,1681
Female,73,1,143,79,2058
Female,35,1,193,74,2400
Male,87,1,176,52,1654
Male,76,2,158,66,2362
Female,54,0,165,88,1852
Male,16,0,181,102,2712
Male,18,2,136,80,3267
Male,92,1,158,113,2757
Female,77,2,140,75,2404
Female,78,2,162,91,2762
Female,40,2,135,99,3155
Male,71,0,161,106,2208
Male,48,2,180,74,3141
Female,53,0,187,99,2031
Female,21,0,155,60,1694
Female,73,0,175,56,1397
Female,59,1,158,61,1934
Male,60,0,133,60,1374
Female,47,0,142,56,1473
Male,60,1,168,52,1876
Female,76,0,144,47,1210
Male,62,2,158,60,2387
Female,36,2,158,74,2813
Female,95,0,161,67,1370
Female,100,1,131,49,1381
Female,90,2,176,109,3031
Male,51,1,151,74,2306
Female,34,1,156,65,2170
Male,35,2,196,114,4503
Male,72,1,185,66,2179
Male,33,2,150,116,4144
Male,62,1,176,76,2427
Female,64,2,188,77,2720
Male,29,0,135,60,1639
Male,30,2,148,82,3278
Male,46,2,186,58,2808
Female,16,2,198,80,3238
Female,69,2,132,67,2302
Female,18,1,130,110,2884
Female,31,0,187,46,1545
Male,72,2,167,117,3827
Male,90,1,144,109,2584
Female,27,0,163,119,2357
Male,89,0,190,111,2318
Male,31,0,164,96,2388
Male,87,0,193,106,2270
Female,91,2,154,67,2181
Female,39,2,153,70,2696
Male,43,1,141,112,3120
Female,23,1,147,99,2731
Female,51,1,144,50,1789
Female,23,0,156,79,1903
Female,73,0,189,66,1543
Female,75,2,175,87,2760
Male,65,0,146,59,1395
Female,43,0,182,104,2135
Male,56,0,137,56,1365
Male,79,1,156,93,2453
Female,42,1,175,86,2477
Male,78,2,179,82,2953
Male,32,0,200,89,2481
Male,88,0,132,79,1452
Female,48,2,193,74,2826
Female,99,0,173,74,1454
Male,92,0,182,50,1242
Female,44,1,153,111,2773
Female,28,2,189,51,2571
Female,61,2,132,96,2902
Female,50,2,149,58,2366
Male,21,2,175,117,4562
Male,97,1,144,59,1449
Female,84,1,154,65,1800
Female,62,0,200,79,1778
Male,40,0,146,110,2437
Male,81,0,138,46,1002
Female,25,0,167,79,1916
Male,71,1,177,64,2085
Female,45,2,189,54,2474
Female,20,1,192,69,2432
Male,48,0,131,110,2282
Male,80,1,140,69,1809
Female,33,2,193,98,3397
Female,64,2,150,77,2590
Male,26,1,147,80,2666
Female,100,1,193,58,1688
Male,41,1,167,109,3279
Female,78,0,161,98,1823
Male,74,1,140,96,2446
Male,42,1,174,47,2006
Male,64,1,162,85,2488
Female,92,2,170,50,1916
Female,48,2,137,69,2543
Male,16,0,140,57,1726
Female,36,0,180,52,1571
Male,70,2,170,65,2528
Male,21,2,146,112,4156
Female,96,2,175,69,2244
Female,84,1,161,112,2519
Male,20,1,183,89,3200
Female,18,2,149,104,3490
Female,68,1,162,56,1805
Male,38,1,169,76,2625
Male,68,0,161,57,1427
Female,52,2,131,75,2596
Male,89,2,162,64,2180
Male,89,1,159,62,1713
Female,98,2,162,104,2820
Male,32,0,155,107,2507
Male,100,0,151,50,991
Female,93,0,195,76,1558
Female,88,2,167,87,2617
Male,16,2,175,46,2779
Male,66,2,144,104,3348
Female,60,2,173,67,2522
Female,92,2,178,75,2400
Female,19,0,190,49,1654
Female,77,1,196,78,2162
Male,80,0,135,54,1124
Female,47,2,138,46,2136
Female,49,0,135,55,1435
Male,87,2,161,94,2978
Female,54,2,170,75,2712
Male,41,0,137,100,2211
Female,49,2,179,117,3553
Female,69,1,191,53,1834
Female,18,2,191,65,2923
Male,65,1,136,117,2956
Male,27,1,133,72,2377
Female,80,2,135,106,2925
Male,69,0,187,51,1477
Male,20,1,151,60,2336
Male,72,0,155,48,1211
Male,32,1,132,48,1807
Male,62,2,170,84,3126
Male,38,2,189,61,3018
Female,94,1,143,96,2158
Female,100,2,141,96,2585
Male,29,1,141,80,2588
Female,81,2,142,82,2502
Female,90,0,154,94,1694
Female,66,2,174,107,3202
Female,53,0,148,107,2039
Male,79,2,184,106,3612
Female,53,0,174,51,1450
Female,65,2,137,71,2428
Male,97,0,182,58,1333
Male,45,1,184,115,3496
Female,94,1,161,49,1509
Female,66,0,180,99,1943
Female,78,2,173,46,1979
Female,67,0,199,106,2059
Female,53,2,147,65,2460
Female,94,1,151,65,1719
Male,45,2,166,54,2527
Female,66,1,185,102,2568
Female,96,2,188,83,2544
Male,20,2,132,49,2396
Male,44,2,157,109,3886
Male,19,0,164,57,1845
Male,25,0,190,97,2610
Female,71,1,183,89,2333
Female,32,1,192,76,2449
Female,89,0,136,80,1499
Female,32,1,178,104,2826
Female,99,0,160,55,1207
Female,84,2,187,107,3086
Male,49,1,190,65,2439
Female,21,1,153,96,2718
Male,68,0,149,99,2046
Male,81,1,166,70,2022
Female,92,1,133,112,2383
Male,58,2,149,78,2822
Female,90,1,189,96,2315
Male,38,2,153,96,3587
Female,70,0,179,73,1619
Male,95,1,178,82,2222
Female,90,2,180,86,2625
Female,31,0,165,65,1716
Female,23,1,195,86,2671
Female,19,0,163,57,1688
Female,19,1,165,108,2944
Male,71,0,135,61,1313
Male,40,0,168,53,1632
Male,82,2,171,85,2903
Female,82,0,187,45,1246
Male,42,1,141,46,1729
Female,47,1,132,104,2589
Female,65,2,147,92,2845
Male,76,1,169,73,2161
Male,66,1,150,54,1716
Female,34,1,144,102,2687
Male,36,0,155,104,2425
Female,20,0,137,65,1718
Female,97,1,171,72,1857
Female,57,2,173,119,3498
Female,76,0,143,78,1565
Female,37,2,131,52,2311
Male,36,1,166,103,3197
Male,85,1,198,116,3204
Female,16,0,167,93,2128
Female,20,1,170,61,2252
Male,27,0,191,104,2715
Male,61,1,189,89,2814
Female,49,1,143,113,2739
Male,64,0,131,76,1592
Female,93,0,199,88,1705
Male,60,0,146,109,2258
Female,42,1,157,52,1921
Male,88,1,195,116,3149
Female,41,2,164,87,3026
Male,62,0,134,45,1117
Male,71,1,194,95,2875
Female,78,1,169,68,1930
Male,63,0,185,68,1793
Female,76,2,165,61,2243
Male,96,0,174,49,1145
Female,41,2,152,64,2566
Male,51,1,176,65,2309
Female,16,2,160,102,3509
Male,23,1,140,75,2538
Female,67,0,139,55,1342
Male,94,0,196,96,2066
Female,62,0,143,59,1425
Female,71,2,139,51,2016
Female,29,1,130,72,2238
Male,43,0,134,95,2094
Female,93,0,149,102,1758
Male,17,1,137,49,2025
Female,41,0,172,49,1491
Male,29,1,130,52,1908
Female,74,1,186,108,2602
Male,71,1,193,54,1996
Male,22,1,157,82,2828
Female,18,1,166,52,2121
Male,38,2,176,69,3103
Male,33,0,166,117,2729
Female,53,2,178,110,3386
Male,30,0,173,94,2418
Male,79,2,185,111,3752
Male,43,1,157,93,2841
Female,89,0,135,80,1497
Male,54,0,190,112,2620
Female,72,2,149,85,2662
